               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.033401,            0.020537,           0.0013912,             0.91787,             0.93333,              0.9175,             0.52655,            0.028391,            0.010796,          0.00072017,           0.0096634,           0.0096634,           0.0096634
                  36,            0.033594,            0.020413,           0.0014569,             0.94361,             0.93832,             0.94707,             0.56181,            0.027646,            0.010983,          0.00096107,           0.0096535,           0.0096535,           0.0096535
                  37,            0.034535,            0.020238,           0.0014387,             0.91196,             0.89949,             0.95755,              0.5129,            0.027429,            0.010388,           0.0010247,           0.0096436,           0.0096436,           0.0096436
                  38,            0.033371,             0.01999,           0.0013882,             0.97875,             0.98591,               0.995,             0.55762,             0.02628,            0.010442,          0.00098684,           0.0096337,           0.0096337,           0.0096337
                  39,            0.033405,            0.020134,           0.0014165,             0.94925,             0.96778,             0.96831,             0.56134,            0.026966,            0.010403,           0.0014473,           0.0096238,           0.0096238,           0.0096238
                  40,            0.032855,            0.020176,           0.0012905,             0.90263,             0.92739,             0.91878,                0.61,            0.026118,            0.010215,          0.00061922,           0.0096139,           0.0096139,           0.0096139
                  41,            0.032874,            0.020186,           0.0012408,             0.88998,              0.9006,             0.86538,             0.53326,            0.026531,            0.011066,          0.00069795,            0.009604,            0.009604,            0.009604
                  42,            0.033143,            0.019786,            0.001365,             0.96505,                   1,               0.995,             0.58266,            0.026397,            0.010574,          0.00076466,           0.0095941,           0.0095941,           0.0095941
                  43,            0.033255,            0.019488,           0.0014128,             0.88405,             0.90556,             0.88496,             0.55959,            0.026565,            0.010821,          0.00072608,           0.0095842,           0.0095842,           0.0095842
                  44,            0.033046,            0.020048,           0.0014145,             0.91657,             0.93333,             0.91878,             0.56484,            0.025652,            0.010103,           0.0007061,           0.0095743,           0.0095743,           0.0095743
                  45,            0.033576,            0.020358,           0.0013553,             0.97598,             0.99318,               0.995,             0.57656,             0.02647,            0.010316,          0.00067563,           0.0095644,           0.0095644,           0.0095644
                  46,            0.032941,            0.018986,              0.0015,             0.90571,             0.97222,             0.98184,              0.5728,            0.027321,            0.010657,           0.0011242,           0.0095545,           0.0095545,           0.0095545
                  47,            0.033133,             0.02037,           0.0012059,             0.98627,                   1,               0.995,             0.59318,            0.026059,            0.010156,          0.00072317,           0.0095446,           0.0095446,           0.0095446
                  48,            0.032641,            0.019561,           0.0011996,             0.98311,             0.99683,               0.995,             0.58958,            0.026277,            0.010671,          0.00076053,           0.0095347,           0.0095347,           0.0095347
                  49,            0.032482,            0.020155,            0.001062,              0.9559,                   1,               0.995,             0.55396,            0.026767,             0.01043,          0.00057616,           0.0095248,           0.0095248,           0.0095248
                  50,            0.032595,            0.019973,            0.001236,             0.98114,             0.99834,               0.995,             0.57917,            0.025905,             0.01079,           0.0006866,           0.0095149,           0.0095149,           0.0095149
                  51,            0.032903,            0.019562,           0.0011661,             0.90309,             0.99213,             0.98389,             0.56665,            0.027432,            0.010809,           0.0011374,            0.009505,            0.009505,            0.009505
                  52,            0.032086,            0.019661,           0.0011824,             0.98876,             0.99361,               0.995,              0.6044,            0.026202,            0.010182,           0.0007792,           0.0094951,           0.0094951,           0.0094951
                  53,            0.032364,            0.020036,           0.0012108,             0.93699,             0.97222,             0.97917,             0.61841,            0.024435,             0.01021,          0.00055022,           0.0094852,           0.0094852,           0.0094852
                  54,            0.032269,            0.019543,           0.0011348,             0.97527,                   1,               0.995,             0.63175,            0.026305,            0.010056,           0.0012087,           0.0094753,           0.0094753,           0.0094753
                  55,             0.03216,             0.01948,           0.0011883,             0.96678,                   1,               0.995,             0.62908,            0.027145,            0.010106,           0.0009305,           0.0094654,           0.0094654,           0.0094654
                  56,            0.032229,            0.019379,           0.0010909,             0.96535,                   1,               0.995,             0.58899,            0.027473,            0.010442,          0.00063334,           0.0094555,           0.0094555,           0.0094555
                  57,            0.032026,            0.019729,           0.0011883,             0.98007,                   1,               0.995,             0.55546,            0.028097,            0.010567,          0.00090082,           0.0094456,           0.0094456,           0.0094456
                  58,            0.032191,            0.019602,             0.00111,             0.95567,             0.97222,             0.97944,             0.56181,            0.027183,            0.011406,           0.0010325,           0.0094357,           0.0094357,           0.0094357
                  59,            0.032526,            0.019364,           0.0011749,             0.98442,             0.97222,             0.97367,             0.58071,            0.028244,            0.011303,          0.00095184,           0.0094258,           0.0094258,           0.0094258
                  60,            0.031573,            0.019558,           0.0010451,             0.90881,             0.93218,              0.9178,             0.54338,            0.027325,             0.01159,          0.00085378,           0.0094159,           0.0094159,           0.0094159
                  61,            0.031307,            0.019433,          0.00097735,             0.96804,                   1,               0.995,             0.54996,            0.027381,            0.010729,           0.0005713,            0.009406,            0.009406,            0.009406
                  62,            0.031693,            0.019132,           0.0010785,             0.97529,             0.86667,             0.91653,             0.52907,            0.028294,            0.010636,          0.00066123,           0.0093961,           0.0093961,           0.0093961
                  63,            0.031683,            0.019617,           0.0011398,             0.98691,                   1,               0.995,             0.58511,            0.026451,            0.010516,           0.0007524,           0.0093862,           0.0093862,           0.0093862
                  64,            0.031957,              0.0197,           0.0011127,             0.95549,             0.96234,             0.97171,             0.55205,            0.027058,            0.011177,          0.00064728,           0.0093763,           0.0093763,           0.0093763
                  65,            0.031708,             0.01947,           0.0011417,             0.95762,             0.97049,             0.97465,             0.60134,            0.025239,            0.011201,          0.00088787,           0.0093664,           0.0093664,           0.0093664
